student_id,gender,age,previous_score,attendance_rate,study_hours_per_week,midterm_score,quiz_average,assignment_average,library_visits_per_week,online_course_time,participation_score,sleep_hours_per_day,extracurricular_hours,part_time_job_hours,parent_education_level,family_income,tutoring,course_difficulty,prerequisite_score,attendance_impact,study_efficiency,total_assessment_score,final_score,final_grade
S0001,Male,20,80.27163473940041,75.74542081109769,6.357980915511061,90.24679062714821,75.58546695143627,98.58747004624277,4.996702437290534,12.194215529169321,57.059051161204486,8.63501179410824,7.848706128599697,2.7711251782768986,Master,Low,No,Medium,73.51659470428795,34.1354364755702,12.625334332723158,88.350597350163,84.42139961334227,B
S0002,Female,23,85.85066287361175,78.93742637500085,11.537038488089527,68.89482650007238,56.61914344305603,45.94451448643032,7.4674677251259425,10.178130446861385,44.32574707524289,,2.762827882850571,1.8226118876406017,High School,Low,Yes,Medium,42.139690726970365,32.54637732754883,7.4413085266414996,58.32702797887486,66.75645304137791,C
S0003,Female,19,61.271055445662455,94.18189572808721,34.09360317814799,79.87006495098464,78.37965947602947,97.1208409194599,,13.336123751200793,34.54931822371379,8.733750010062076,4.219176751096662,18.125758522309923,PhD,Middle,No,Hard,73.6743187482204,35.16443236316892,1.797142271103033,84.59817609904067,100.0,A
S0004,Female,23,78.11933448231495,73.60017544239568,31.83689247184175,63.98265638849233,65.10970993841399,65.27725831170295,0.8330258311179639,6.740040891531511,35.56442238468812,4.441049660816051,7.740079382606867,28.983489674782643,Bachelor,Low,No,Easy,44.93177337202639,29.192937109656327,2.4537361663487687,64.70915303043202,82.41465262480091,B
S0005,Male,20,75.72856924146869,94.78598739248685,17.272494201000143,74.6519017648341,52.51274080686092,45.554972276203486,1.855802367835554,13.408346440832874,83.20330441726841,5.14956380741797,11.025207126911967,15.08163926864172,Bachelor,Middle,No,Medium,79.0689331185311,45.076457101199736,4.384344748373615,59.281074630852956,82.67425671686335,B
S0006,Male,22,87.4773669554722,63.52537723906766,18.188371972097436,58.731676558161524,95.53549556991511,82.90364774484794,2.1932818403091914,12.986611835341131,61.13620937256431,,1.4198157059045875,1.545456778179154,High School,Middle,Yes,Hard,61.45427056195118,31.28485504623316,4.809521549794022,77.02441361769353,86.618514419515,A
S0007,Male,24,90.77391772165672,91.07193748834523,23.67440517437528,56.563746088199494,80.79153771508581,98.92971672172447,2.5786425364484487,6.576139985389044,80.83267854000107,9.68252994851617,4.4504504644212926,6.636559682323685,PhD,Middle,No,Medium,86.07330703626852,43.48811695450378,3.8342639256638495,76.54187476632288,86.47025226719452,A
S0008,Female,18,50.54705471648241,93.90190532218946,5.008435163979709,71.80263823932326,92.09210872980066,98.1094147560676,5.654033919505043,,77.76009852345882,4.448547080330682,13.899320228578834,7.34378719247312,Master,Middle,Yes,Medium,91.83910848958217,43.7225913013486,10.092384759218415,85.78151234148977,87.2359872153267,A
S0009,Female,24,80.33089635764567,67.27270611349356,13.443551761330975,67.39713208011892,82.45068824063615,53.85153561613301,5.039657798253935,13.992180224553852,39.475372323218046,4.258505296941186,6.436849766728322,10.1357138741085,PhD,Middle,No,Medium,62.94106878060849,28.076886298691676,5.9754221044999,67.84951998907832,71.5588862719769,B
S0010,Female,24,52.332610960387804,77.21386129488802,12.288113301287506,71.87450030324896,67.13521722272543,54.968629333638525,2.0316003836420893,10.727471018076566,40.00215539345871,4.939304049567134,14.083045108639716,1.3081015075863789,Bachelor,Low,Yes,Easy,65.33054125105605,31.164589467158144,4.2587995143977535,65.38095408820877,74.46978729689468,B
S0011,Male,22,74.69863992848101,66.61999098654623,13.766903136241721,19.916374257108306,74.60902747178295,76.1046403040813,0.6755484345568707,13.923680196571135,82.87394108038937,7.846918773160939,14.871008123282035,27.14678101493749,High School,High,No,Medium,72.45811695570677,36.56078551204174,5.425958125021956,53.180650035602596,73.57336822463559,B
S0012,,23,62.94347280696552,88.26416515976871,33.20670448867045,,82.4358444966645,80.05176545355783,1.7143220447471808,11.954621683437196,80.4887805439792,6.393957500021483,7.899897391671239,15.466918341644858,Bachelor,High,Yes,Hard,50.842299702192776,42.577005656726456,1.8955049522737417,,85.7726850085627,A
S0013,Female,18,63.80494697849635,81.41391072246627,14.788584979125512,44.61438783459001,96.092111609669,85.66798525162261,9.843813126186033,9.139461589371216,56.46215368120173,8.953314276506116,4.320660146772759,20.12792378862327,Bachelor,Low,Yes,Medium,91.00330624555987,35.71660395298023,4.31447275507148,72.37378419222348,75.82971549670681,B
S0014,Male,17,65.88313265535605,85.41293386833284,11.703246271755186,42.875200474971315,,54.957769825968114,4.685469497914722,1.7377916550564676,35.4195584332988,4.431598908888195,11.861652128588686,2.015185106850269,Bachelor,Middle,Yes,Medium,63.81499595757549,32.70779184715961,5.6294750298777805,,64.61300035129975,C
S0015,Male,21,77.95816020723245,67.85947867824845,22.649221127756103,53.94014213201589,91.99889881395765,97.7453897720439,8.673455047021125,4.372210088686478,30.846861518891654,5.178484520888206,2.3896610328752246,1.623464034109482,PhD,Middle,No,Medium,49.1751184753804,26.527215907252867,3.4419797381772437,78.49934342860682,86.27220541705593,A
S0016,Male,22,65.03224845509462,68.46983448209679,35.29757627304562,44.08357726318002,94.35573465412493,80.13065909590809,8.487524666688433,14.532636106475874,50.17098646232214,5.800158432789374,3.780702895081058,17.594033161216416,Bachelor,Low,No,Medium,81.95025083803861,30.575147637093465,1.8423998280231881,69.97934903028191,83.77214159062616,B
S0017,Male,20,82.97145727656262,61.659893020396254,13.447239634312496,45.70760897491074,82.17994470362991,91.58758053788051,5.115195574628737,4.791331480713067,30.645559151105886,7.760380520132712,11.773198642489234,26.61888031512624,Master,Middle,Yes,Medium,52.05332548441918,24.627079736340054,6.170147891530798,70.41330116241741,69.95115364210787,C
S0018,Female,17,68.20373235082414,72.88270140782919,7.748768497747954,84.71106229666654,94.7007981152642,74.70361434062946,7.066877084605435,1.3988230467805618,46.10508347725924,,6.5046888709804485,15.85446002878641,PhD,Middle,No,Easy,47.89411012895202,31.085827117800605,8.80188024337627,84.70574865543472,86.75284287650062,A
S0019,Male,21,53.07589401394814,82.389786453347,17.474165754738266,42.13805333591791,,67.78522661744354,1.9275201041271228,10.613300338789797,59.3650518147937,4.745219763782643,3.0230690548150014,26.334575177102145,High School,Low,Yes,Medium,70.95796415217039,36.58994629896284,3.037392157022212,,73.4436807735615,B
S0020,Male,20,85.26919291178483,94.31739655989315,31.167813859774224,76.24185366641086,95.74477644994126,98.74505986272479,6.883967049269083,,38.49910357183679,9.662828253950437,9.766886174284867,24.329738191657178,Master,Low,No,Medium,76.93223904103749,35.9950396823353,2.7358092324157157,88.84369236036416,100.0,A
S0021,Female,24,62.85912460667177,86.67709789834723,24.27416906431781,54.99067618484703,83.73357810396679,77.01667539509099,2.723845792632895,4.2818658043072615,37.29944304820824,6.0462648111412545,10.991427920725243,2.2756135738476226,Bachelor,Middle,Yes,Hard,71.3259507365704,33.46301797914582,2.5895479445709437,70.22134652365614,86.75581358460242,A
S0022,Male,19,69.47450958196681,77.41585293599006,33.587767935102164,87.93501243894696,52.016276836102975,92.67804705395484,8.320620967541508,4.465079690194556,92.75062050031156,8.279012578001698,1.8760685917585362,6.058724231570697,Master,Middle,No,Medium,76.10808569210498,41.774879980859325,2.068446754669871,78.58230214259612,89.27471413508134,A
S0023,Male,20,,,38.585725166323186,66.67457565176247,93.52989592731453,97.43108180014595,0.8372413310890992,7.033394782631758,70.98290203160225,7.145246313686193,4.154703899624012,19.731320074660275,High School,Low,No,Medium,46.35382067692594,,,83.95812357894313,96.02633677138142,A
